variable,Mean_Abs_SHAP,Cor_Feature_SHAP,Gradient,Gene,Driving_Direction
Moisture,0.3616750889702489,0.37418303806122244,Water-limited,nirK_Mean,Positive (+)
SOC,0.19202032752948023,0.7205340645334757,Water-limited,nirK_Mean,Positive (+)
TN,0.17654611121997954,0.872158192529955,Water-limited,nirK_Mean,Positive (+)
NH4+,0.1585257915562413,0.11944562744845619,Water-limited,nirK_Mean,Positive (+)
pH,0.1444982361850621,-0.567105821,Water-limited,nirK_Mean,Negative (-)
Temperature,0.09897461838152377,-0.454377765,Water-limited,nirK_Mean,Negative (-)
MAP,0.09682051154474418,0.3552827737409594,Water-limited,nirK_Mean,Positive (+)
MAT,0.07442032627139916,0.3660454290613091,Water-limited,nirK_Mean,Positive (+)
NO3-,0.06591192165078366,0.6578450125143491,Water-limited,nirK_Mean,Positive (+)
SOC/TN,0.02133236732730447,-0.090864257,Water-limited,nirK_Mean,Negative (-)
MAP,0.27938748018730586,0.4363302447426505,Water-balanced,nirK_Mean,Positive (+)
NH4+,0.17979821369767057,-0.850514125,Water-balanced,nirK_Mean,Negative (-)
pH,0.1541842821209777,0.32066965666796304,Water-balanced,nirK_Mean,Positive (+)
SOC/TN,0.15262813372537493,0.688657128324168,Water-balanced,nirK_Mean,Positive (+)
Temperature,0.14455234580910858,0.51760960322196925,Water-balanced,nirK_Mean,Positive (+)
MAT,0.13427173336445145,0.29449968270150906,Water-balanced,nirK_Mean,Positive (+)
Moisture,0.11806922946315335,0.6373079296777235,Water-balanced,nirK_Mean,Positive (+)
SOC,0.10595786109556592,0.6706530245226108,Water-balanced,nirK_Mean,Positive (+)
NO3-,0.0805827175946229,0.8318330962410827,Water-balanced,nirK_Mean,Positive (+)
TN,0.038489565057757226,0.17998750076767323,Water-balanced,nirK_Mean,Positive (+)
pH,0.20270060213581603,0.03500003175497888,Water-surplus,nirK_Mean,Positive (+)
Moisture,0.17409386196622076,0.4016280289970668,Water-surplus,nirK_Mean,Positive (+)
SOC,0.1632902836092199,0.7133736343319469,Water-surplus,nirK_Mean,Positive (+)
MAP,0.15481524359126833,-0.081356493,Water-surplus,nirK_Mean,Negative (-)
NH4+,0.14917485781812242,0.8211555019823871,Water-surplus,nirK_Mean,Positive (+)
TN,0.10653528007141036,0.7784091163646051,Water-surplus,nirK_Mean,Positive (+)
MAT,0.10526753107754244,0.06299733890092078,Water-surplus,nirK_Mean,Positive (+)
SOC/TN,0.04294848589681329,0.14552289876202235,Water-surplus,nirK_Mean,Positive (+)
Temperature,0.0345675362065141,-0.21294271,Water-surplus,nirK_Mean,Negative (-)
NO3-,0.03197352194090359,0.3164430395872516,Water-surplus,nirK_Mean,Positive (+)
MAP,0.21311336664398142,0.05265718723773046,Water-saturated,nirK_Mean,Positive (+)
SOC,0.20153401848150004,0.7824128218034156,Water-saturated,nirK_Mean,Positive (+)
NH4+,0.18779850325274425,0.19945737137225775,Water-saturated,nirK_Mean,Positive (+)
SOC/TN,0.15131433773364417,-0.5296024,Water-saturated,nirK_Mean,Negative (-)
NO3-,0.1482815536369735,-0.873981112,Water-saturated,nirK_Mean,Negative (-)
TN,0.11565357682372052,0.541527910082913,Water-saturated,nirK_Mean,Positive (+)
pH,0.11344333866909273,0.5317118377096803,Water-saturated,nirK_Mean,Positive (+)
Temperature,0.10332211337870881,0.6145821978948686,Water-saturated,nirK_Mean,Positive (+)
MAT,0.06390991541651832,0.020179203228514544,Water-saturated,nirK_Mean,Positive (+)
Moisture,0.027815112116118697,-0.794016252,Water-saturated,nirK_Mean,Negative (-)
